,Tag1,Tag2,Tag3,Tag4,Tag5
2012-07-19 14:30:49.671000,Off,Tag not found,0,0,-902.426940918
2012-07-19 14:31:49.671000,Off,Tag not found,0,0,-902.43572998
2012-07-19 14:32:49.671000,Off,Tag not found,0,0,-902.444519043
2012-07-19 14:33:49.671000,Off,Tag not found,0,0,-902.453308105
2012-07-19 14:34:49.671000,Off,Tag not found,0,0,-902.462097168
2012-07-19 14:35:49.671000,Off,Tag not found,0,0,-902.47088623
2012-07-19 14:36:49.671000,Off,Tag not found,0,0,-902.479736328
2012-07-19 14:37:49.671000,Off,Tag not found,0,0,-902.488525391
2012-07-19 14:38:49.671000,Off,Tag not found,0,0,-902.497314453
2012-07-19 14:39:49.671000,Off,Tag not found,0,0,-902.506103516
2012-07-19 14:40:49.671000,Off,Tag not found,0,0,-902.514892578
2012-07-19 14:41:49.671000,Off,Tag not found,0,0,-902.523681641
2012-07-19 14:42:49.671000,Off,Tag not found,0,0,-902.532470703
2012-07-19 14:43:49.671000,Off,Tag not found,0,0,-902.541259766
2012-07-19 14:44:49.671000,Off,Tag not found,0,0,-902.550048828
2012-07-19 14:45:49.671000,Off,Tag not found,0,0,-902.558837891
2012-07-19 14:46:49.671000,Off,Tag not found,0,0,-902.567626953
2012-07-19 14:47:49.671000,Off,Tag not found,0,0,-902.576416016
2012-07-19 14:48:49.671000,Off,Tag not found,0,0,-902.585205078
2012-07-19 14:49:49.671000,Off,Tag not found,0,0,-902.593994141
2012-07-19 14:50:49.671000,Off,Tag not found,0,0,-902.602844238
2012-07-19 14:51:49.671000,Off,Tag not found,0,0,-902.611633301
2012-07-19 14:52:49.671000,Off,Tag not found,0,0,-902.620422363
2012-07-19 14:53:49.671000,Off,Tag not found,0,0,-902.629211426
2012-07-19 14:54:49.671000,Off,Tag not found,0,0,-902.638000488
2012-07-19 14:55:49.671000,Off,Tag not found,0,0,-902.646789551
2012-07-19 14:56:49.671000,Off,Tag not found,0,0,-902.655578613
2012-07-19 14:57:49.671000,Off,Tag not found,0,0,-902.664367676
2012-07-19 14:58:49.671000,Off,Tag not found,0,0,-902.673156738
2012-07-19 14:59:49.671000,Off,Tag not found,0,0,-902.681945801
2012-07-19 15:00:49.671000,Off,Tag not found,0,0,-902.690734863
2012-07-19 15:01:49.671000,Off,Tag not found,0,0,-902.699523926
2012-07-19 15:02:49.671000,Off,Tag not found,0,0,-902.708312988
2012-07-19 15:03:49.671000,Off,Tag not found,0,0,-902.717102051
2012-07-19 15:04:49.671000,Off,Tag not found,0,0,-902.725952148
